"product_id","product_title","unit_price_usd","department","color","finish","w_in","d_in","h_in","product_image","product_page","availability"
"MR-695.090.05","EKTORP 3-seat sofa - Karlshov beige/multicolour","719","Three seater sofas","beige","polypropylene","85.8","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-karlshov-beige-multicolour__1194859_pe902109_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-karlshov-beige-multicolour-s69509005/","in_stock"
"MR-195.089.99","EKTORP 3-seat sofa - Hakebo dark grey","639","Three seater sofas","dark grey","polypropylene","85.8","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-hakebo-dark-grey__1577720_pe1033467_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-hakebo-dark-grey-s19508999/","in_stock"
"MR-395.090.02","EKTORP 3-seat sofa - Hakebo grey-green","639","Three seater sofas","green","polypropylene","85.8","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-hakebo-grey-green__1577722_pe1033469_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-hakebo-grey-green-s39509002/","in_stock"
"MR-495.090.11","EKTORP 3-seat sofa - Kilanda light beige","679","Three seater sofas","light beige","polypropylene","85.8","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-kilanda-light-beige__1577723_pe1033470_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-kilanda-light-beige-s49509011/","in_stock"
"MR-496.217.53","SÖDERHAMN 2-seat sofa with chaise longue - Kelinge dark yellow","970","Fabric sofas with chaise longues","yellow","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-dark-yellow__1576701_pe1032642_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-dark-yellow-s49621753/","in_stock"
"MR-996.217.60","SÖDERHAMN 2-seat sofa with chaise longue - Kelinge beige","970","Fabric sofas with chaise longues","beige","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-beige__1499601_pe1006734_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-beige-s99621760/","in_stock"
"MR-993.057.52","SÖDERHAMN 2-seat sofa - with chaise longue/Viarp beige/brown","1030","Fabric sofas with chaise longues","beige","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-viarp-beige-brown__1577086_pe1032927_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-viarp-beige-brown-s99305752/","in_stock"
"MR-894.496.85","SÖDERHAMN 2-seat sofa with chaise longue - Fridtuna light beige","1110","Fabric sofas with chaise longues","light beige","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-fridtuna-light-beige__1577389_pe1033157_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-fridtuna-light-beige-s89449685/","in_stock"
"MR-596.217.57","SÖDERHAMN 2-seat sofa with chaise longue - Kelinge dark blue","970","Fabric sofas with chaise longues","blue","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-dark-blue__1576675_pe1032617_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-dark-blue-s59621757/","in_stock"
"MR-396.217.63","SÖDERHAMN 2-seat sofa with chaise longue - Fridtuna dark grey-blue","1020","Fabric sofas with chaise longues","dark grey","polyester wadding","73.2","39","32.7","https://www.ikea.com/sg/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-fridtuna-dark-grey-blue__1499605_pe1006738_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-2-seat-sofa-with-chaise-longue-fridtuna-dark-grey-blue-s39621763/","in_stock"
"MR-105.415.83","BÅRSLÖV 3-seat sofa-bed - Tibbleby light grey-turquoise","799","Three-seat sofa-beds","light grey","polypropylene","55.9","42.9","33.9","https://www.ikea.com/sg/en/images/products/barsloev-3-seat-sofa-bed-tibbleby-light-grey-turquoise__1344859_pe949940_s5.jpg","https://www.ikea.com/sg/en/p/barsloev-3-seat-sofa-bed-tibbleby-light-grey-turquoise-10541583/","in_stock"
"MR-605.415.90","BÅRSLÖV 3-seat sofa-bed - Tibbleby beige/grey","799","Three-seat sofa-beds","beige","polypropylene","55.9","42.9","33.9","https://www.ikea.com/sg/en/images/products/barsloev-3-seat-sofa-bed-tibbleby-beige-grey__1213685_pe911212_s5.jpg","https://www.ikea.com/sg/en/p/barsloev-3-seat-sofa-bed-tibbleby-beige-grey-60541590/","check"
"MR-596.191.94","MANNARP 2-seat sofa - Saxemara black-blue","489","Two seater sofas","black","polypropylene","62.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-saxemara-black-blue__1585238_pe1036965_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-saxemara-black-blue-s59619194/","in_stock"
"MR-996.040.01","MANNARP 2-seat sofa - Saxemara black-blue","489","Two seater sofas","black","polypropylene","62.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-saxemara-black-blue__1578189_pe1033859_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-saxemara-black-blue-s99604001/","in_stock"
"MR-796.191.93","MANNARP 2-seat sofa - Gunnared beige","489","Two seater sofas","beige","polypropylene","62.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-gunnared-beige__1585237_pe1036964_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-gunnared-beige-s79619193/","in_stock"
"MR-696.040.31","MANNARP 2-seat sofa - Gunnared beige","489","Two seater sofas","beige","polypropylene","62.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-gunnared-beige__1576802_pe1032728_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-gunnared-beige-s69604031/","in_stock"
"MR-596.040.03","MANNARP 2-seat sofa - Saxemara grey-beige","489","Two seater sofas","beige","polypropylene","62.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-saxemara-grey-beige__1578192_pe1033860_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-saxemara-grey-beige-s59604003/","in_stock"
"MR-296.191.95","MANNARP 2-seat sofa - Saxemara grey-beige","489","Two seater sofas","beige","polypropylene","62.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-2-seat-sofa-saxemara-grey-beige__1578547_pe1034186_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-2-seat-sofa-saxemara-grey-beige-s29619195/","in_stock"
"MR-606.184.95","LILLESÄTER 3-seat sofa - Gunnared bright green-yellow","799","Three seater sofas","yellow","polypropylene","79.1","35.4","27.2","https://www.ikea.com/sg/en/images/products/lillesaeter-3-seat-sofa-gunnared-bright-green-yellow__1576112_pe1032231_s5.jpg","https://www.ikea.com/sg/en/p/lillesaeter-3-seat-sofa-gunnared-bright-green-yellow-60618495/","in_stock"
"MR-206.190.72","LILLESÄTER 3-seat sofa - Axvall off-white","899","Three seater sofas","white","polypropylene","79.1","35.4","27.2","https://www.ikea.com/sg/en/images/products/lillesaeter-3-seat-sofa-axvall-off-white__1576111_pe1032230_s5.jpg","https://www.ikea.com/sg/en/p/lillesaeter-3-seat-sofa-axvall-off-white-20619072/","in_stock"
"MR-094.017.67","VIMLE 4-seat sofa with chaise longue - with wide armrests/Gunnared medium grey","1349","Fabric sofas with chaise longues","grey","polypropylene","132.3","38.6","32.7","https://www.ikea.com/sg/en/images/products/vimle-4-seat-sofa-with-chaise-longue-with-wide-armrests-gunnared-medium-grey__1577323_pe1033091_s5.jpg","https://www.ikea.com/sg/en/p/vimle-4-seat-sofa-with-chaise-longue-with-wide-armrests-gunnared-medium-grey-s09401767/","in_stock"
"MR-794.017.64","VIMLE 4-seat sofa with chaise longue - with wide armrests/Gunnared beige","1349","Fabric sofas with chaise longues","beige","polypropylene","132.3","38.6","32.7","https://www.ikea.com/sg/en/images/products/vimle-4-seat-sofa-with-chaise-longue-with-wide-armrests-gunnared-beige__1577327_pe1033095_s5.jpg","https://www.ikea.com/sg/en/p/vimle-4-seat-sofa-with-chaise-longue-with-wide-armrests-gunnared-beige-s79401764/","in_stock"
"MR-095.090.32","EKTORP 3-seat sofa with chaise longue - Hakebo grey-green","919","Fabric sofas with chaise longues","green","polypropylene","99.2","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-with-chaise-longue-hakebo-grey-green__1577712_pe1033459_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-with-chaise-longue-hakebo-grey-green-s09509032/","in_stock"
"MR-695.090.29","EKTORP 3-seat sofa with chaise longue - Hakebo dark grey","919","Fabric sofas with chaise longues","dark grey","polypropylene","99.2","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-with-chaise-longue-hakebo-dark-grey__1577724_pe1033468_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-with-chaise-longue-hakebo-dark-grey-s69509029/","in_stock"
"MR-395.090.35","EKTORP 3-seat sofa with chaise longue - Karlshov beige/multicolour","989","Fabric sofas with chaise longues","beige","polypropylene","99.2","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-with-chaise-longue-karlshov-beige-multicolour__1194855_pe902105_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-with-chaise-longue-karlshov-beige-multicolour-s39509035/","in_stock"
"MR-195.090.41","EKTORP 3-seat sofa with chaise longue - Kilanda light beige","949","Fabric sofas with chaise longues","light beige","polypropylene","99.2","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-with-chaise-longue-kilanda-light-beige__1577721_pe1033471_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-with-chaise-longue-kilanda-light-beige-s19509041/","in_stock"
"MR-795.090.38","EKTORP 3-seat sofa with chaise longue - Kilanda dark blue","949","Fabric sofas with chaise longues","blue","polypropylene","99.2","34.6","34.6","https://www.ikea.com/sg/en/images/products/ektorp-3-seat-sofa-with-chaise-longue-kilanda-dark-blue__1194861_pe902093_s5.jpg","https://www.ikea.com/sg/en/p/ektorp-3-seat-sofa-with-chaise-longue-kilanda-dark-blue-s79509038/","check"
"MR-096.191.96","MANNARP 3-seat sofa - Gunnared beige","649","Three seater sofas","beige","polypropylene","78","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-gunnared-beige__1578532_pe1034171_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-gunnared-beige-s09619196/","in_stock"
"MR-896.191.97","MANNARP 3-seat sofa - Saxemara black-blue","649","Three seater sofas","black","polypropylene","78","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-saxemara-black-blue__1578539_pe1034178_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-saxemara-black-blue-s89619197/","in_stock"
"MR-796.040.40","MANNARP 3-seat sofa - Saxemara black-blue","649","Three seater sofas","black","polypropylene","78","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-saxemara-black-blue__1578232_pe1033894_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-saxemara-black-blue-s79604040/","in_stock"
"MR-796.040.35","MANNARP 3-seat sofa - Gunnared beige","649","Three seater sofas","beige","polypropylene","78","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-gunnared-beige__1578225_pe1033883_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-gunnared-beige-s79604035/","in_stock"
"MR-696.191.98","MANNARP 3-seat sofa - Saxemara grey-beige","649","Three seater sofas","beige","polypropylene","78","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-saxemara-grey-beige__1578549_pe1034167_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-saxemara-grey-beige-s69619198/","in_stock"
"MR-296.040.47","MANNARP 3-seat sofa - Saxemara grey-beige","649","Three seater sofas","beige","polypropylene","78","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-saxemara-grey-beige__1578233_pe1033901_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-saxemara-grey-beige-s29604047/","in_stock"
"MR-793.066.44","VIMLE 3-seat sofa - Grann/Bomstad black","1399","Three seater sofas","black","polypropylene","94.9","38.6","31.5","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-grann-bomstad-black__0817362_pe773988_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-grann-bomstad-black-s79306644/","in_stock"
"MR-592.726.83","LANDSKRONA 3-seat sofa - with chaise longue/Gunnared light green/metal","1299","Fabric sofas with chaise longues","green","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-gunnared-light-green-metal__0602391_pe680325_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-gunnared-light-green-metal-s59272683/","in_stock"
"MR-592.726.59","LANDSKRONA 3-seat sofa - with chaise longue/Gunnared dark grey/metal","1299","Fabric sofas with chaise longues","dark grey","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-metal__1576925_pe1032822_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-metal-s59272659/","in_stock"
"MR-492.726.88","LANDSKRONA 3-seat sofa - with chaise longue/Gunnared light green/wood","1299","Fabric sofas with chaise longues","green","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-gunnared-light-green-wood__0602395_pe680328_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-gunnared-light-green-wood-s49272688/","in_stock"
"MR-192.726.61","LANDSKRONA 3-seat sofa - with chaise longue/Gunnared dark grey/wood","1299","Fabric sofas with chaise longues","dark grey","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-wood__1576926_pe1032818_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-wood-s19272661/","in_stock"
"MR-694.158.27","LANDSKRONA 3-seat sofa - with chaise longue/Djuparp dark blue/metal","1299","Fabric sofas with chaise longues","blue","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-djuparp-dark-blue-metal__0990552_pe819043_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-djuparp-dark-blue-metal-s69415827/","check"
"MR-094.158.30","LANDSKRONA 3-seat sofa - with chaise longue/Djuparp dark blue/wood","1299","Fabric sofas with chaise longues","blue","polyurethane","94.5","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-3-seat-sofa-with-chaise-longue-djuparp-dark-blue-wood__0990555_pe819047_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-3-seat-sofa-with-chaise-longue-djuparp-dark-blue-wood-s09415830/","check"
"MR-794.431.94","KIVIK 4-seat sofa - with chaise longue/Grann/Bomstad black","2099","Fabric sofas with chaise longues","black","polyurethane","125.2","64.2","32.7","https://www.ikea.com/sg/en/images/products/kivik-4-seat-sofa-with-chaise-longue-grann-bomstad-black__1576871_pe1032785_s5.jpg","https://www.ikea.com/sg/en/p/kivik-4-seat-sofa-with-chaise-longue-grann-bomstad-black-s79443194/","in_stock"
"MR-392.704.68","LANDSKRONA 4-seat sofa - with chaise longue/Gunnared light green/wood","1399","Fabric sofas with chaise longues","green","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-gunnared-light-green-wood__0602433_pe680347_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-gunnared-light-green-wood-s39270468/","in_stock"
"MR-894.205.02","LANDSKRONA 4-seat sofa - with chaise longue/Djuparp dark blue/wood","1399","Fabric sofas with chaise longues","blue","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-djuparp-dark-blue-wood__0990567_pe819061_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-djuparp-dark-blue-wood-s89420502/","in_stock"
"MR-692.704.57","LANDSKRONA 4-seat sofa - with chaise longue/Gunnared light green/metal","1399","Fabric sofas with chaise longues","green","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-gunnared-light-green-metal__0602431_pe680345_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-gunnared-light-green-metal-s69270457/","in_stock"
"MR-494.158.33","LANDSKRONA 4-seat sofa - with chaise longue/Djuparp dark blue/metal","1399","Fabric sofas with chaise longues","blue","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-djuparp-dark-blue-metal__0990565_pe819059_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-djuparp-dark-blue-metal-s49415833/","in_stock"
"MR-192.703.70","LANDSKRONA 4-seat sofa - with chaise longue/Gunnared dark grey/metal","1399","Fabric sofas with chaise longues","dark grey","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-gunnared-dark-grey-metal__1576922_pe1032819_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-gunnared-dark-grey-metal-s19270370/","check"
"MR-192.703.65","LANDSKRONA 4-seat sofa - with chaise longue/Gunnared dark grey/wood","1399","Fabric sofas with chaise longues","dark grey","polyurethane","110.2","35","30.7","https://www.ikea.com/sg/en/images/products/landskrona-4-seat-sofa-with-chaise-longue-gunnared-dark-grey-wood__1576957_pe1032853_s5.jpg","https://www.ikea.com/sg/en/p/landskrona-4-seat-sofa-with-chaise-longue-gunnared-dark-grey-wood-s19270365/","check"
"MR-793.062.53","VIMLE 3-seat sofa - with headrest/Grann/Bomstad black","1499","Three seater sofas","black","polypropylene","94.9","38.6","31.5","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-with-headrest-grann-bomstad-black__0817212_pe773912_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-with-headrest-grann-bomstad-black-s79306253/","in_stock"
"MR-693.066.87","VIMLE 3-seat sofa - with chaise longue/Grann/Bomstad black","1999","Fabric sofas with chaise longues","black","polypropylene","99.2","38.6","31.5","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-with-chaise-longue-grann-bomstad-black__0817413_pe774028_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-with-chaise-longue-grann-bomstad-black-s69306687/","in_stock"
"MR-695.363.01","LILLEHEM Modular corner sofa, 2-seat - Gunnared dark grey/wood","789","Modular sofas","dark grey","polypropylene","58.3","29.9","28.7","https://www.ikea.com/sg/en/images/products/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-wood__1577766_pe1033513_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-wood-s69536301/","in_stock"

