"sku","name","category","price","currency","color","material","width_cm","depth_cm","height_cm","image_url","product_url","stock"
"ST-296.249.98","RULLERUM 3-seat sofa w 2 electric recliners - Grann/Bomstad beige","Recliner sofas","1799","SGD","beige","polyester wadding","259","94","98","https://www.ikea.com/sg/en/images/products/rullerum-3-seat-sofa-w-2-electric-recliners-grann-bomstad-beige__1327921_pe944584_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-3-seat-sofa-w-2-electric-recliners-grann-bomstad-beige-s29624998/","in_stock"
"ST-096.249.99","RULLERUM 3-seat sofa w 2 electric recliners - Grann/Bomstad golden-brown","Recliner sofas","1799","SGD","brown","polyester wadding","259","94","98","https://www.ikea.com/sg/en/images/products/rullerum-3-seat-sofa-w-2-electric-recliners-grann-bomstad-golden-brown__1303667_pe938431_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-3-seat-sofa-w-2-electric-recliners-grann-bomstad-golden-brown-s09624999/","in_stock"
"ST-102.950.25","HEMLINGBY Two-seat sofa - Bomstad black","Two seater sofas","299","SGD","black","polypropylene","145","71.5","71.5","https://www.ikea.com/sg/en/images/products/hemlingby-two-seat-sofa-bomstad-black__0368914_pe551188_s5.jpg","https://www.ikea.com/sg/en/p/hemlingby-two-seat-sofa-bomstad-black-10295025/","in_stock"
"ST-495.149.65","HYLTARP 3-seat sofa w chaise longue, right - Gransel grey","Fabric sofas with chaise longues","1439","SGD","grey","polypropylene","262","93","91","https://www.ikea.com/sg/en/images/products/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-grey__1577704_pe1033451_s5.jpg","https://www.ikea.com/sg/en/p/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-grey-s49514965/","in_stock"
"ST-994.958.27","HYLTARP 3-seat sofa w chaise longue, right - Gransel natural","Fabric sofas with chaise longues","1439","SGD","natural","polypropylene","262","93","91","https://www.ikea.com/sg/en/images/products/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-natural__1577695_pe1033442_s5.jpg","https://www.ikea.com/sg/en/p/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-natural-s99495827/","in_stock"
"ST-794.958.33","HYLTARP 3-seat sofa w chaise longue, right - Hallarp white","Fabric sofas with chaise longues","1369","SGD","white","polypropylene","262","93","91","https://www.ikea.com/sg/en/images/products/hyltarp-3-seat-sofa-w-chaise-longue-right-hallarp-white__1577708_pe1033458_s5.jpg","https://www.ikea.com/sg/en/p/hyltarp-3-seat-sofa-w-chaise-longue-right-hallarp-white-s79495833/","in_stock"
"ST-494.958.39","HYLTARP 3-seat sofa w chaise longue, right - Kilanda pale blue","Fabric sofas with chaise longues","1369","SGD","blue","polypropylene","262","93","91","https://www.ikea.com/sg/en/images/products/hyltarp-3-seat-sofa-w-chaise-longue-right-kilanda-pale-blue__1578507_pe1034150_s5.jpg","https://www.ikea.com/sg/en/p/hyltarp-3-seat-sofa-w-chaise-longue-right-kilanda-pale-blue-s49495839/","in_stock"
"ST-294.958.21","HYLTARP 3-seat sofa w chaise longue, right - Gransel grey-brown","Fabric sofas with chaise longues","1439","SGD","brown","polypropylene","262","93","91","https://www.ikea.com/sg/en/images/products/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-grey-brown__1193841_pe901652_s5.jpg","https://www.ikea.com/sg/en/p/hyltarp-3-seat-sofa-w-chaise-longue-right-gransel-grey-brown-s29495821/","in_stock"
"ST-393.990.32","VIMLE 3-seat sofa - Gunnared beige","Three seater sofas","839","SGD","beige","polypropylene","241","98","83","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-gunnared-beige__0514366_pe639439_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-gunnared-beige-s39399032/","in_stock"
"ST-993.990.29","VIMLE 3-seat sofa - Gunnared medium grey","Three seater sofas","839","SGD","grey","polypropylene","241","98","83","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-gunnared-medium-grey__1576934_pe1032831_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-gunnared-medium-grey-s99399029/","in_stock"
"ST-893.990.44","VIMLE 3-seat sofa - Hallarp beige","Three seater sofas","719","SGD","beige","polypropylene","241","98","83","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-hallarp-beige__0949426_pe799732_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-hallarp-beige-s89399044/","in_stock"
"ST-493.990.41","VIMLE 3-seat sofa - Hallarp grey","Three seater sofas","719","SGD","grey","polypropylene","241","98","83","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-hallarp-grey__0949429_pe799735_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-hallarp-grey-s49399041/","in_stock"
"ST-295.747.76","LILLEHEM 6-seat modular sofa with side table - Gunnared/brown-red metal","Modular sofas","1697","SGD","brown","polypropylene","342","76","73","https://www.ikea.com/sg/en/images/products/lillehem-6-seat-modular-sofa-with-side-table-gunnared-brown-red-metal__1247176_pe922564_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-6-seat-modular-sofa-with-side-table-gunnared-brown-red-metal-s29574776/","in_stock"
"ST-195.747.48","LILLEHEM 6-seat modular sofa with side table - Gunnared/dark grey metal","Modular sofas","1697","SGD","dark grey","polypropylene","342","76","73","https://www.ikea.com/sg/en/images/products/lillehem-6-seat-modular-sofa-with-side-table-gunnared-dark-grey-metal__1577789_pe1033536_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-6-seat-modular-sofa-with-side-table-gunnared-dark-grey-metal-s19574748/","in_stock"
"ST-595.748.07","LILLEHEM 6-seat modular sofa with side table - Vissle/beige wood","Modular sofas","1567","SGD","beige","polypropylene","342","76","73","https://www.ikea.com/sg/en/images/products/lillehem-6-seat-modular-sofa-with-side-table-vissle-beige-wood__1577898_pe1033644_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-6-seat-modular-sofa-with-side-table-vissle-beige-wood-s59574807/","check"
"ST-895.747.59","LILLEHEM 6-seat modular sofa with side table - Gunnared/dark grey wood","Modular sofas","1697","SGD","dark grey","polypropylene","342","76","73","https://www.ikea.com/sg/en/images/products/lillehem-6-seat-modular-sofa-with-side-table-gunnared-dark-grey-wood__1577906_pe1033648_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-6-seat-modular-sofa-with-side-table-gunnared-dark-grey-wood-s89574759/","check"
"ST-395.534.86","LILLEHEM 6-seat modular sofa with side table - Vissle/beige metal","Modular sofas","1567","SGD","beige","polypropylene","342","76","73","https://www.ikea.com/sg/en/images/products/lillehem-6-seat-modular-sofa-with-side-table-vissle-beige-metal__1577900_pe1033649_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-6-seat-modular-sofa-with-side-table-vissle-beige-metal-s39553486/","check"

